,Unnamed: 0,Game Number,Score
0,0,0.0,-188.5
1,1,1.0,-203.0
2,2,2.0,-170.0
3,3,3.0,-188.0
4,4,4.0,-187.5
5,5,5.0,-166.5
6,6,6.0,-167.5
7,7,7.0,-150.5
8,8,8.0,-176.5
9,9,9.0,-153.0
10,10,10.0,-160.0
11,11,11.0,-178.5
12,12,12.0,-143.5
13,13,13.0,-159.0
14,14,14.0,-170.0
15,15,15.0,-149.0
16,16,16.0,-127.5
17,17,17.0,-112.0
18,18,18.0,-152.0
19,19,19.0,-141.5
20,20,20.0,-133.5
21,21,21.0,-139.5
22,22,22.0,-113.5
23,23,23.0,-123.5
24,24,24.0,-129.5
25,25,25.0,-113.0
26,26,26.0,-152.5
27,27,27.0,-86.0
28,28,28.0,-104.0
29,29,29.0,-156.5
30,30,30.0,-113.5
31,31,31.0,-116.0
32,32,32.0,-117.0
33,33,33.0,-158.5
34,34,34.0,-112.5
35,35,35.0,-118.5
36,36,36.0,-115.5
37,37,37.0,-125.0
38,38,38.0,-77.0
39,39,39.0,-161.5
40,40,40.0,-87.5
41,41,41.0,-140.0
42,42,42.0,-61.0
43,43,43.0,-145.0
44,44,44.0,-111.0
45,45,45.0,-83.5
46,46,46.0,-91.5
47,47,47.0,-128.0
48,48,48.0,-118.0
49,49,49.0,-121.5
50,50,50.0,-57.0
51,51,51.0,-93.0
52,52,52.0,-144.5
53,53,53.0,-72.0
54,54,54.0,-63.0
55,55,55.0,-80.5
56,56,56.0,-77.0
57,57,57.0,-142.5
58,58,58.0,-83.5
59,59,59.0,-123.5
60,60,60.0,-107.5
61,61,61.0,-106.0
62,62,62.0,-159.5
63,63,63.0,-93.5
64,64,64.0,-98.5
65,65,65.0,-83.5
66,66,66.0,-108.5
67,67,67.0,-172.5
68,68,68.0,-112.5
69,69,69.0,-78.5
70,70,70.0,-158.5
71,71,71.0,-118.5
72,72,72.0,-36.0
73,73,73.0,-93.0
74,74,74.0,-105.5
75,75,75.0,-43.5
76,76,76.0,-99.5
77,77,77.0,-93.5
78,78,78.0,-70.0
79,79,79.0,-78.0
80,80,80.0,-110.0
81,83,83.0,-42.5
82,84,84.0,-129.5
83,85,85.0,-40.0
84,86,86.0,-59.5
85,87,87.0,-112.0
86,88,88.0,-81.0
87,89,89.0,-66.5
88,90,90.0,-94.0
89,91,91.0,-62.5
90,92,92.0,-64.5
91,93,93.0,-74.0
92,94,94.0,-97.0
93,95,95.0,-114.5
94,96,96.0,-95.0
95,97,97.0,-80.5
96,98,98.0,-79.0
97,99,99.0,-38.0
98,100,100.0,-91.0
99,101,101.0,-107.5
100,102,102.0,-42.0
101,103,103.0,-67.0
102,104,104.0,-37.5
103,105,105.0,-139.0
104,106,106.0,8.0
105,107,107.0,-27.0
106,108,108.0,-68.0
107,109,109.0,-104.0
108,110,110.0,-83.0
109,111,111.0,-55.5
110,112,112.0,-72.0
111,113,113.0,-57.0
112,114,114.0,-44.5
113,115,115.0,-152.0
114,116,116.0,-74.0
115,117,117.0,-139.0
116,118,118.0,-73.5
117,119,119.0,-85.5
118,120,120.0,-77.5
119,121,121.0,-43.5
120,122,122.0,-56.5
121,123,123.0,-118.5
122,124,124.0,-82.5
123,125,125.0,-104.5
124,126,126.0,-38.5
125,127,127.0,-92.5
126,0,0.0,-42.0
127,1,1.0,-50.5
128,2,2.0,-59.5
129,3,3.0,-3.0
130,4,4.0,-78.5
131,5,5.0,-141.0
132,6,6.0,-59.0
133,7,7.0,-136.0
134,8,8.0,-124.0
135,9,9.0,-119.0
136,10,10.0,-9.0
137,11,11.0,-61.0
138,12,12.0,-100.0
139,13,13.0,-37.5
140,14,14.0,-95.5
141,15,15.0,-86.0
142,16,16.0,-108.0
143,17,17.0,-101.5
144,18,18.0,-117.0
145,19,19.0,-140.0
146,0,0.0,-72.5
147,1,1.0,-24.0
148,2,2.0,-50.5
149,3,3.0,-14.5
150,4,4.0,0.0
151,0,0.0,-34.5
152,1,1.0,-52.5
153,2,2.0,-40.5
154,3,3.0,-23.5
155,4,4.0,-62.5
156,0,0.0,-44.5
157,1,1.0,-101.0
158,2,2.0,-63.5
159,3,3.0,-23.5
160,4,4.0,-83.5
161,0,0.0,-88.0
162,1,1.0,-41.5
163,2,2.0,-67.5
164,3,3.0,-121.5
165,4,4.0,-32.5
166,5,5.0,-65.5
167,6,6.0,-49.0
168,7,7.0,-99.5
169,8,8.0,-45.5
170,9,9.0,-121.0
171,10,10.0,-32.0
172,11,11.0,-89.0
173,12,12.0,-66.0
174,13,13.0,-68.0
175,14,14.0,-48.5
176,15,15.0,-111.0
177,16,16.0,-56.0
178,17,17.0,0.0
179,18,18.0,-55.5
180,19,19.0,-6.5
181,0,0.0,-63.5
182,1,1.0,-50.0
183,2,2.0,-51.0
184,3,3.0,-36.5
185,4,4.0,-105.5
186,0,0.0,-63.5
187,1,1.0,-50.0
188,2,2.0,-51.0
189,3,3.0,-36.5
190,4,4.0,-105.5
191,0,0.0,-16.0
192,1,1.0,-32.5
193,2,2.0,-91.5
194,3,3.0,-86.5
195,4,4.0,-79.5
196,5,5.0,-66.0
197,6,6.0,-40.0
198,7,7.0,-29.5
199,8,8.0,-53.5
200,9,9.0,-26.5
201,0,0.0,-19.0
202,1,1.0,-81.0
203,2,2.0,-103.5
204,3,3.0,-45.5
205,4,4.0,-120.0
206,5,5.0,-65.5
207,6,6.0,-55.5
208,7,7.0,-70.5
209,8,8.0,-38.5
210,9,9.0,-120.0
