,Unnamed: 0,Unnamed: 0.1,Game Number,Score
0,0,0,0.0,-221.5
1,1,1,1.0,-237.5
2,2,2,2.0,-238.0
3,3,3,3.0,-234.5
4,4,4,4.0,-210.0
5,5,5,5.0,-244.0
6,6,6,6.0,-248.0
7,7,7,7.0,-238.0
8,8,8,8.0,-243.5
9,9,9,9.0,-236.5
10,10,10,10.0,-233.0
11,11,11,11.0,-242.0
12,12,12,12.0,-246.0
13,13,13,13.0,-222.5
14,14,14,14.0,-241.5
15,15,15,15.0,-241.0
16,16,16,16.0,-236.0
17,17,17,17.0,-231.0
18,18,18,18.0,-242.0
19,19,19,19.0,-235.5
20,20,20,20.0,-219.0
21,21,21,21.0,-227.5
22,22,22,22.0,-237.5
23,23,23,23.0,-233.5
24,24,24,24.0,-236.5
25,25,25,25.0,-243.5
26,26,26,26.0,-236.0
27,27,27,27.0,-242.0
28,28,28,28.0,-241.0
29,29,29,29.0,-231.5
30,30,30,30.0,-227.5
31,31,31,31.0,-239.0
32,32,32,32.0,-242.0
33,33,33,33.0,-230.5
34,34,34,34.0,-240.5
35,35,35,35.0,-234.5
36,36,36,36.0,-245.0
37,37,37,37.0,-233.0
38,38,38,38.0,-239.0
39,39,39,39.0,-233.0
40,40,40,40.0,-238.0
41,41,41,41.0,-229.5
42,42,42,42.0,-244.0
43,43,43,43.0,-227.5
44,44,44,44.0,-245.0
45,45,45,45.0,-211.0
46,46,46,46.0,-235.0
47,47,47,47.0,-196.0
48,48,48,48.0,-244.0
49,49,49,49.0,-239.0
50,50,0,0.0,-235.5
51,51,1,1.0,-201.5
52,52,2,2.0,-245.0
53,53,3,3.0,-240.0
54,54,4,4.0,-241.0
55,55,5,5.0,-237.0
56,56,6,6.0,-242.5
57,57,7,7.0,-240.5
58,58,8,8.0,-236.5
59,59,9,9.0,-251.0
60,60,10,10.0,-237.5
61,61,11,11.0,-240.5
62,62,12,12.0,-222.5
63,63,13,13.0,-225.0
64,64,14,14.0,-244.0
65,65,15,15.0,-250.5
66,66,16,16.0,-214.5
67,67,17,17.0,-221.5
68,68,18,18.0,-233.5
69,69,19,19.0,-227.0
70,70,20,20.0,-237.5
71,71,21,21.0,-217.0
72,72,22,22.0,-237.5
73,73,23,23.0,-214.0
74,74,24,24.0,-230.5
75,75,25,25.0,-243.5
76,76,26,26.0,-237.0
77,77,27,27.0,-242.0
78,78,28,28.0,-231.5
79,79,29,29.0,-178.0
80,80,30,30.0,-231.0
81,81,31,31.0,-199.0
82,82,32,32.0,-235.0
83,83,33,33.0,-187.5
84,84,34,34.0,-221.0
85,85,35,35.0,-218.0
86,86,36,36.0,-239.5
87,87,37,37.0,-210.0
88,88,38,38.0,-226.5
89,89,39,39.0,-198.0
90,90,40,40.0,-238.0
91,91,41,41.0,-238.5
92,92,42,42.0,-238.0
93,93,43,43.0,-238.5
94,94,44,44.0,-242.5
95,95,45,45.0,-247.0
96,96,46,46.0,-236.0
97,97,47,47.0,-228.5
98,98,48,48.0,-225.5
99,99,49,49.0,-243.0
100,100,0,0.0,-236.0
101,101,1,1.0,-229.0
102,102,2,2.0,-228.0
103,103,3,3.0,-239.5
104,104,4,4.0,-236.5
105,105,5,5.0,-244.5
106,106,6,6.0,-246.5
107,107,7,7.0,-216.0
108,108,8,8.0,-227.5
109,109,9,9.0,-232.0
110,110,10,10.0,-246.0
111,111,11,11.0,-215.5
112,112,12,12.0,-239.5
113,113,13,13.0,-230.0
114,114,14,14.0,-239.0
115,115,15,15.0,-228.5
116,116,16,16.0,-232.5
117,117,17,17.0,-198.5
118,118,18,18.0,-246.5
119,119,19,19.0,-233.0
120,120,20,20.0,-240.5
121,121,21,21.0,-242.0
122,122,22,22.0,-235.0
123,123,23,23.0,-235.5
124,124,24,24.0,-233.5
125,125,25,25.0,-187.5
126,126,26,26.0,-239.0
127,127,27,27.0,-232.5
128,128,28,28.0,-237.5
129,129,29,29.0,-242.5
130,130,30,30.0,-227.0
131,131,31,31.0,-236.0
132,132,32,32.0,-232.5
133,133,33,33.0,-226.5
134,134,34,34.0,-240.5
135,135,35,35.0,-242.0
136,136,36,36.0,-224.5
137,137,37,37.0,-241.5
138,138,38,38.0,-241.0
139,139,39,39.0,-240.0
140,140,40,40.0,-235.5
141,141,41,41.0,-244.5
142,142,42,42.0,-241.5
143,143,43,43.0,-224.0
144,144,44,44.0,-229.0
145,145,45,45.0,-241.5
146,146,46,46.0,-246.0
147,147,47,47.0,-244.0
148,148,48,48.0,-245.0
149,149,49,49.0,-232.5
150,15,15,15.0,-241.0
151,16,16,16.0,-236.0
152,17,17,17.0,-231.0
153,18,18,18.0,-242.0
154,19,19,19.0,-235.5
155,20,20,20.0,-219.0
156,21,21,21.0,-227.5
157,22,22,22.0,-237.5
158,23,23,23.0,-233.5
159,24,24,24.0,-236.5
160,25,25,25.0,-243.5
161,26,26,26.0,-236.0
162,27,27,27.0,-242.0
163,28,28,28.0,-241.0
164,29,29,29.0,-231.5
165,30,30,30.0,-227.5
166,31,31,31.0,-239.0
167,32,32,32.0,-242.0
168,33,33,33.0,-230.5
169,34,34,34.0,-240.5
170,35,35,35.0,-234.5
171,36,36,36.0,-245.0
172,37,37,37.0,-233.0
173,38,38,38.0,-239.0
174,39,39,39.0,-233.0
175,40,40,40.0,-238.0
176,41,41,41.0,-229.5
177,42,42,42.0,-244.0
178,43,43,43.0,-227.5
179,44,44,44.0,-245.0
180,100,0,0.0,-236.0
181,101,1,1.0,-229.0
182,102,2,2.0,-228.0
183,103,3,3.0,-239.5
184,104,4,4.0,-236.5
185,105,5,5.0,-244.5
186,106,6,6.0,-246.5
187,107,7,7.0,-216.0
188,108,8,8.0,-227.5
189,109,9,9.0,-232.0
190,110,10,10.0,-246.0
191,111,11,11.0,-215.5
192,55,5,5.0,-237.0
193,56,6,6.0,-242.5
194,57,7,7.0,-240.5
195,58,8,8.0,-236.5
196,59,9,9.0,-251.0
197,60,10,10.0,-237.5
198,61,11,11.0,-240.5
199,62,12,12.0,-222.5
200,75,25,25.0,-243.5
201,76,26,26.0,-237.0
202,77,27,27.0,-242.0
203,78,28,28.0,-231.5
204,79,29,29.0,-178.0
205,80,30,30.0,-231.0
206,81,31,31.0,-199.0
207,82,32,32.0,-235.0
208,83,33,33.0,-187.5
209,84,34,34.0,-221.0
210,85,35,35.0,-218.0
